Text Prompt,Mood Issue,Sleep Issue,Anxiety Issue,Depression,Eating Disorder,Panic Disorder,Obsessive-Compulsive,Hallucinations,Self-Harm,Bipolar Disorder,PTSD,Suicidal Thoughts,Explanation
I've been feeling anxious all the time.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests constant anxiety.
I can't fall asleep and have racing thoughts.,0,1,0,0,0,0,0,0,0,0,0,0,Indicates insomnia and racing thoughts.
I'm worried about my future constantly.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests persistent anxiety about the future.
I feel empty and can't find joy in anything.,1,0,0,1,0,0,0,0,0,0,0,0,Signs of emotional emptiness and depression.
I can't focus on anything for more than a minute.,0,1,0,0,0,0,0,0,0,0,0,0,Indicates attention difficulties and restlessness.
I'm having panic attacks almost every day.,0,0,1,0,0,1,0,0,0,0,0,0,Suggests frequent panic attacks and anxiety.
I hear voices in my head that scare me.,0,0,0,0,0,0,1,0,0,0,0,0,Indicates auditory hallucinations.
I'm always irritable and snap at people.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests irritability and potential anxiety.
I can't stop checking things and counting.,0,0,0,0,0,0,1,0,0,0,0,0,Indicates obsessive-compulsive tendencies.
I feel like I'm watching my life from afar.,0,0,0,0,0,0,0,0,0,0,0,0,Signs of depersonalization or disconnection.
I eat large amounts of food and then feel guilty.,0,1,0,0,1,0,0,0,0,0,0,0,Indicates binge eating and guilt.
I'm afraid to leave my home because of panic.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests agoraphobia and fear of leaving home.
I'm constantly doubting myself and my abilities.,0,0,0,0,0,0,0,0,0,0,0,0,Signs of low self-esteem and self-doubt.
I've been cutting myself to cope.,0,0,0,0,0,0,0,0,1,0,0,0,Indicates self-harm as a coping mechanism.
My mood swings from extreme highs to lows.,1,0,0,0,0,0,0,0,0,1,0,0,Signs of extreme mood swings
I can't even get out of bed or shower.,1,1,0,1,0,0,0,0,0,0,0,0,Indicates severe depression and difficulty with daily tasks.
I get angry and lose control over small things.,0,0,0,0,0,0,0,0,0,0,0,0,Suggests difficulty with anger management.
I'm always tired and have no energy to do anything.,0,1,0,1,0,0,0,0,0,0,0,0,Signs of fatigue
I can't go out without fearing something bad will happen.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates anxiety related to safety concerns.
I feel worthless and like a burden to others.,1,0,0,1,0,0,0,0,0,0,0,0,Signs of low self-worth and potential depression.
I've been using drugs to numb my feelings.,1,0,1,1,0,0,0,0,0,0,1,0,Indicates substance abuse as a coping mechanism.
I can't get over the traumatic event I experienced.,0,0,1,0,0,0,0,0,0,0,1,0,Suggests symptoms of post-traumatic stress disorder (PTSD).
I'm constantly suspicious of others' motives.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests paranoid tendencies and distrust.
I have thoughts of ending my life.,0,0,0,0,0,0,0,0,0,0,0,1,Indicates suicidal thoughts and potential risk.
I can't stop thinking negatively about myself.,0,0,0,0,0,0,0,0,0,0,0,0,Signs of negative self-talk and self-criticism.
I'm confused about my gender identity.,0,0,0,0,0,0,0,0,0,0,0,0,Signs of gender identity confusion.
I'm overwhelmed by my responsibilities.,1,0,1,0,0,0,0,0,0,0,0,0,Indicates feeling overwhelmed by life's demands.
I forget things and have trouble with memory.,0,1,0,0,0,0,0,0,0,0,0,0,Suggests memory issues and potential cognitive difficulties.
My relationships are falling apart.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates difficulties in interpersonal relationships.
I'm obsessed with my appearance and flaws.,0,0,1,0,0,0,0,0,0,0,0,0,Signs of body dysmorphic concerns.
I have difficulty trusting others.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates trust issues and difficulty in building trust with others.
I'm experiencing religious delusions.,0,0,0,0,0,0,0,0,0,0,0,0,Signs of religious delusions or irrational beliefs.
I'm consumed by guilt and regret.,1,0,0,1,0,0,0,0,0,0,0,0,Indicates feelings of guilt and regret.
I'm always on edge and jittery.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests anxiety-related nervousness and restlessness.
I have intense phobias of specific things.,0,0,1,0,0,0,0,0,0,0,0,0,Signs of specific phobias.
I feel like I'm being watched or followed.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates paranoid thoughts and surveillance concerns.
I've been engaging in risky behaviors.,1,0,1,0,0,0,0,0,0,0,0,0,Suggests risky behaviors as a form of self-destructive coping.
I have vivid flashbacks of the trauma.,0,0,1,0,0,0,0,0,0,0,1,0,Indicates traumatic flashbacks and potential PTSD symptoms.
I feel like I'm never good enough for anyone.,0,0,0,0,0,0,0,0,0,0,0,0,Signs of low self-esteem and perfectionism.
I'm struggling with substance addiction.,1,0,1,0,0,0,0,0,0,0,0,0,Indicates substance addiction as an issue.
I'm obsessed with cleanliness and order.,0,0,0,0,0,0,1,0,0,0,0,0,Signs of obsessive-compulsive disorder (OCD).
I have intrusive thoughts about harming others.,0,0,0,0,0,0,0,1,0,0,0,0,Indicates intrusive thoughts of harm.
I'm constantly seeking validation from others.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests a need for external validation.
I feel hopeless and like life has no meaning.,1,0,0,1,0,0,0,0,0,0,0,0,Signs of hopelessness and existential distress.
I've been isolating myself from everyone.,1,0,1,0,0,0,0,0,0,0,0,0,Suggests social isolation and withdrawal.
I'm having trouble controlling my thoughts.,0,0,0,0,0,0,0,1,0,0,0,0,Indicates difficulty controlling intrusive thoughts.
I'm overwhelmed by guilt and shame.,1,0,0,1,0,0,0,0,0,0,0,0,Indicates overwhelming guilt and shame.
I'm constantly on edge and anxious about everything.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests chronic anxiety and hypervigilance.
I have difficulty making decisions.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates decision-making difficulties.
I experience physical symptoms due to stress.,0,0,1,0,0,0,0,0,0,0,0,0,Signs of stress-related physical symptoms.
I feel disconnected from my body.,0,0,0,0,0,0,0,0,0,0,0,0,Signs of depersonalization or disconnection from one's body.
I have trouble expressing my emotions.,1,0,0,1,0,0,0,0,0,0,0,0,Indicates difficulty in expressing emotions.
I've been avoiding people and social situations.,1,0,1,0,0,0,0,0,0,0,0,0,Suggests social anxiety and avoidance behavior.
I can't control my anger and have outbursts.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests difficulty with anger management.
I'm constantly worried about my health.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests health-related anxiety.
I feel like I'm not real or don't exist.,0,0,0,0,0,0,0,0,0,0,0,0,Signs of depersonalization or derealization.
I experience flashbacks of a traumatic event.,0,0,1,0,0,0,0,0,0,0,1,0,Indicates traumatic flashbacks and potential PTSD symptoms.
I'm always seeking reassurance from others.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests a need for constant reassurance.
I feel like I have no control over my life.,1,0,1,1,0,0,0,0,0,0,0,0,Indicates a sense of powerlessness and lack of control.
I can't concentrate and forget things easily.,0,1,0,0,0,0,0,0,0,0,0,0,Suggests difficulty with concentration and memory.
I avoid eating or eat very little.,0,1,1,0,1,0,0,0,0,0,0,0,Indicates restricted eating and potential eating disorder.
I experience mood swings and irritability.,1,0,0,0,0,0,0,0,0,1,0,0,Signs of mood swings and irritability.
I can't handle criticism and get defensive.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests sensitivity to criticism and defensiveness.
I have trouble falling asleep and staying asleep.,0,1,0,0,0,0,0,0,0,0,0,0,Indicates sleep difficulties and insomnia.
I'm always fatigued and lack energy.,0,1,0,1,0,0,0,0,0,0,0,0,Signs of chronic fatigue and low energy.
I experience vivid nightmares regularly.,0,1,1,0,0,0,0,0,0,0,1,0,Indicates frequent vivid nightmares and potential PTSD symptoms.
